movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published
If Beale Street Could Talk Official Trailer,CQXSforT_qQ,If Beale Street Could Talk Trailer #1 (2018) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,745,878540,9585,2018-09-20T14:27:53.000Z
The Mule Official Trailer,N_QksSzK7sI,THE MULE - Official Trailer,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,6621,14909536,81644,2018-10-04T16:01:03.000Z
Mortal Engines Official Trailer,IRsFc2gguEg,Mortal Engines - Official Trailer (HD),Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,12393,24042122,112162,2018-06-05T15:00:23.000Z
That Way Madness Lies Official Trailer,MxEeS3bR9kY,Official Trailer for THAT WAY MADNESS LIES...,Sandra Luckow,UClxC7KlfkJZP7pVGSyBsSFg,2,5627,7,2018-09-28T18:32:50.000Z
Bird Box Official Trailer,o2AsIXSh2xo,Bird Box | Official Trailer [HD] | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,15783,20060237,160915,2018-10-24T14:00:11.000Z
Mary Queen of Scots Official Trailer,wnqjSgMU36U,MARY QUEEN OF SCOTS - Official Trailer [HD] - In Theaters December,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,4133,6409774,20382,2018-07-12T15:00:10.000Z
Ben is Back Official Trailer,j7ckCekdGr8,"BEN IS BACK Official Trailer (2018) Julia Roberts, Lucas Hedges Drama Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,250,760528,3026,2018-10-11T14:16:51.000Z
The Possession of Hannah Grace Official Trailer,RHAgri92JP8,THE POSSESSION OF HANNAH GRACE - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,3939,10477468,50327,2018-10-15T15:00:06.000Z
Werk ohne Autor Official Trailer,vfUK_adu26g,WERK OHNE AUTOR Trailer German Deutsch (2018),KinoCheck,UCOL10n-as9dXO2qtjjFUQbQ,172,485613,3572,2018-08-17T14:12:21.000Z
The Favourite Official Trailer,SYb-wkehT1g,THE FAVOURITE | Official Trailer | FOX Searchlight,FoxSearchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,1957,9458033,31916,2018-09-04T13:01:53.000Z
Robin Hood Official Trailer,zwPn9ZnbCo0,"Robin Hood (2018 Movie) Official Trailer – Taron Egerton, Jamie Foxx, Jamie Dornan",Lionsgate Movies,UCJ6nMHaJPZvsJ-HmUmj1SeA,5525,14322651,50875,2018-07-17T15:45:37.000Z
Ralph Breaks The Internet Official Trailer,T73h5bmD8Dc,Ralph Breaks the Internet | Official Trailer 2,Walt Disney Animation Studios,UC_976xMxPgzIa290Hqtk-9g,14941,8236195,86532,2018-09-20T12:30:00.000Z
Creed II Official Trailer,u22BXhMu4tI,CREED II | Official Trailer 2 | MGM,MGM,UCf5CjDJvsFvtVIhkfmKAwAA,10389,17766184,146412,2018-09-26T16:05:00.000Z
Green Book Official Trailer,QkZxoko_HC0,Green Book - Official Trailer [HD],Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,4171,10954836,45452,2018-08-14T14:00:05.000Z
Instant Family Official Trailer,IUfZq3DUd3Y,Instant Family (2018) - Official Trailer - Paramount Pictures,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,2254,15916920,48260,2018-09-05T18:59:17.000Z
Fantastic Beasts: The Crimes of Grindelwald Official Trailer,vvFybpmyB9E,Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,10753,12519546,145544,2018-07-21T17:56:04.000Z
Widows Official Trailer,nN2yBBSRC78,Widows | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,2679,9654524,26642,2018-08-15T13:00:13.000Z
Dr. Seuss' The Grinch Official Trailer,vjnqABgxfO0,The Grinch - Official Trailer [HD],Illumination,UCq7OHvWO6Z3u-LztFdrcU-g,15936,23753791,123469,2018-03-08T16:00:08.000Z
The Girl in the Spider's Web Official Trailer,XKMSP9OKspQ,THE GIRL IN THE SPIDER'S WEB - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,3964,6751610,37295,2018-06-07T13:00:08.000Z
Bohemian Rhapsody Official Trailer,mP0VHJYFOAU,Bohemian Rhapsody | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,18757,34007096,304198,2018-07-17T13:00:41.000Z
The Nutcracker and the Four Realms Official Trailer,BXfxLIuNJvw,Disney's The Nutcracker and the Four Realms - Final Trailer,Walt Disney Studios,UCuaFvcY4MhZY3U43mMt1dYQ,5175,4748239,34815,2018-09-04T16:02:37.000Z
Nobody's Fool Official Trailer,MoCG5aWtlPU,"NOBODY'S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,646,1205326,14581,2018-06-18T13:21:20.000Z
Air Strike Official Trailer,p7H9dR3yhSQ,"AIR STRIKE Official Trailer (2018) Bruce Willis, Action, Adventure Movie HD",ONE Media,UCzcRQ3vRNr6fJ1A9rqFn7QA,171,229524,423,2018-08-29T09:50:18.000Z
London Fields Official Trailer,DpXYe_y686M,"LONDON FIELDS Official Trailer (2018) Amber Heard, Cara Delevingne",ONE Media,UCzcRQ3vRNr6fJ1A9rqFn7QA,757,2229261,9557,2018-06-28T14:59:47.000Z
Suspiria Official Trailer,BY6QKRl56Ok,Suspiria - Official Trailer | Amazon Studios,Amazon Studios,UCyouSlyNTfwX_pnGvlfIL3Q,3020,10866083,30108,2018-08-23T12:59:49.000Z
Indivisible Official Trailer,JtD96nYOE3Q,INDIVISIBLE Official Movie HD Trailer 2018,Moviex Trailer_Official,UChv3rzf54FxdDjUVgSPwRZg,245,926728,5598,2018-05-18T22:05:20.000Z
Can You Ever Forgive Me? Official Trailer,UvJIaNsf_bY,CAN YOU EVER FORGIVE ME? | Official Trailer [HD] | FOX Searchlight,FoxSearchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,445,4540140,7437,2018-03-16T21:59:47.000Z
